Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearsAtCompany_Safe,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerCluster,PromotionGapScore,RetentionOpportunityIndex,RetentionPriority,PCA1,PCA2
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,6.0,0.0,0.6666666666666666,0.0,0.8333333333333334,1,Medium,0.2833333333333333,Low Priority,-0.17426278987148905,0.4185722853849508
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,10.0,0.1,0.7,0.3,0.7,3,Medium,0.26,Low Priority,0.710278554358636,0.41036914982724104
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.1,0.0,0.0,30.0,0.0,4,Low,-6.0,Low Priority,-4.066632039106486,-2.1632947101403452
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,8.0,0.375,0.875,0.375,0.0,1,High,0.3375,Medium Priority,-0.607671075962408,0.4721108094782027
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,2.0,1.0,1.0,1.5,1.0,0,High,0.4999999999999999,Medium Priority,-0.46503763503094114,2.6243912023334204
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,7.0,0.42857142857142855,1.0,0.2857142857142857,0.8571428571428571,3,High,0.5,Medium Priority,0.638349970020162,2.0043144393578083
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,1.0,0.0,0.0,3.0,0.0,4,Low,-0.6000000000000001,Low Priority,-3.055383234975131,-1.1215886362790164
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,1.0,0.0,0.0,2.0,0.0,4,Low,-0.4,Low Priority,-3.020356692308324,-1.0820625413219553
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,9.0,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.8888888888888888,3,High,0.32222222222222224,Medium Priority,1.5088446208768285,0.05459546725568607
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,7.0,1.0,1.0,0.42857142857142855,1.0,0,High,0.7142857142857142,High Priority,2.0270144201380016,2.162058186760589
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,5.0,0.0,0.8,1.0,0.6,1,High,0.09999999999999998,Low Priority,-1.0930556243140401,0.950038251097197
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,9.0,0.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,3,Medium,0.18888888888888888,Low Priority,0.3233174406786736,0.4686484790888199
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,5.0,0.8,0.4,0.2,0.6,0,High,0.46,Medium Priority,-0.621529837936325,1.0794098813988986
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,2.0,0.5,1.0,1.0,1.0,0,High,0.4,Medium Priority,-0.8846879781548934,2.2600453460572614
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,4.0,0.0,0.5,1.0,0.75,1,Medium,0.024999999999999994,Low Priority,-1.5075926197015566,0.7631568670712089
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,10.0,0.8,0.9,0.1,0.8,0,High,0.6500000000000001,High Priority,3.018914555162887,0.7236467688315071
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,6.0,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,1,Low,0.01666666666666665,Low Priority,-1.1024370276769921,0.5093186050760211
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,1.0,0.0,0.0,2.0,0.0,4,Low,-0.4,Low Priority,-3.0042158466150357,-1.1040778831714073
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,25.0,0.12,0.32,0.12,0.28,2,Low,0.14800000000000002,Low Priority,2.881544913267859,-2.8089069406401217
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,3.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1,Medium,0.19999999999999996,Low Priority,-1.2195539827322537,1.029026504003511
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,4.0,0.25,0.5,1.25,0.75,1,Medium,0.07500000000000001,Low Priority,-0.8448384867124423,0.4162964534303468
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,5.0,0.0,0.6,0.8,0.6,1,Medium,0.07999999999999996,Low Priority,-1.2554623426044882,0.5684496515192268
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,12.0,0.16666666666666666,0.5,0.3333333333333333,0.9166666666666666,3,Medium,0.2416666666666667,Low Priority,2.0952752696193664,-0.5290098517395404
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0.1,0.0,0.0,60.0,0.0,4,Low,-12.0,Low Priority,-5.1286335343027485,-3.3337941810393312
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,4.0,0.25,0.5,0.5,0.75,1,Medium,0.225,Low Priority,-1.1812857790625348,0.9300945296173706
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,14.0,0.2857142857142857,0.9285714285714286,0.21428571428571427,0.5714285714285714,2,High,0.40714285714285714,Medium Priority,4.090904386129774,-1.6902472412430782
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,10.0,0.6,0.2,0.5,0.7,0,High,0.26999999999999996,Low Priority,0.2903245147805337,0.5771170692389803
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,9.0,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.2222222222222222,1,High,0.38888888888888884,Medium Priority,0.47086174815853626,-0.0239536373369242
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,22.0,0.22727272727272727,0.2727272727272727,0.18181818181818182,0.7727272727272727,2,Low,0.21363636363636362,Low Priority,3.5002002884115346,-1.0083048944400255
